Date,Cases,Deaths,Recovered,Travel_history,Province,City
3/18/2020,1,0,0,Iran/Taftan,Azad Jummu Kashmir,Mirpur
3/19/2020,1,0,0,Local - Social Contact,Punjab,Multan
3/19/2020,8,0,0,,Punjab,Lahore
3/19/2020,44,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/19/2020,37,0,1,Local - Social Contact,Sindh,Karachi
3/19/2020,53,0,0,Iran/Taftan,Baluchistan,Quetta
3/19/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
3/19/2020,1,0,0,Local - Covid Relative,Khyber Pakhtunkhwa,Dera Ismail Khan
3/19/2020,4,0,0,,Gilgit-Baltistan,Gilgit
3/19/2020,4,0,0,,Gilgit-Baltistan,gar
3/20/2020,5,0,0,,Baluchistan,Quetta
3/20/2020,4,1,0,Local - Social Contact,Sindh,Karachi
3/20/2020,1,0,0,,Khyber Pakhtunkhwa,Mansehra
3/20/2020,1,0,0,,Federal Administration Tribal Area,Khyber
3/20/2020,1,0,0,Local - Social Contact,Punjab,Rawalpindi
3/20/2020,1,0,0,Local - Social Contact,Punjab,Jehlum
3/20/2020,3,0,0,Local - Social Contact,Punjab,Gujrat 
3/20/2020,2,0,0,,Punjab,Lahore
3/20/2020,7,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/20/2020,1,0,0,Local - Social Contact,Gilgit-Baltistan,gar
3/20/2020,8,0,0,Iran/Taftan,Gilgit-Baltistan,Gilgit
3/20/2020,16,0,0,Local - Social Contact,Sindh,Karachi
3/21/2020,3,0,0,,Islamabad Capital Territory,Islamabad
3/21/2020,12,0,0,Iran/Taftan,Baluchistan,Quetta
3/21/2020,39,0,0,Iran/Taftan,Sindh,Sukkur
3/21/2020,0,0,3,Local - Social Contact,Sindh,Karachi
3/21/2020,25,0,0,Iran/Taftan,Gilgit-Baltistan,Skardu
3/21/2020,6,0,0,,Punjab,Lahore
3/21/2020,38,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/21/2020,1,0,0,Local - Social Contact,Punjab,Jehlum
3/21/2020,4,0,0,Local - Social Contact,Punjab,Gujranwala
3/21/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
3/21/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
3/21/2020,2,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
3/21/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Mardan
3/21/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Karak
3/22/2020,4,0,0,Local - Social Contact,Gilgit-Baltistan,gar
3/22/2020,18,0,0,Local - Social Contact,Sindh,Karachi
3/22/2020,23,0,0,Iran/Taftan,Sindh,Sukkur
3/22/2020,1,0,0,,Islamabad Capital Territory,Islamabad
3/22/2020,15,0,0,,Punjab,Lahore
3/22/2020,1,0,0,Local - Social Contact,Punjab,Jehlum
3/22/2020,1,0,0,Local - Social Contact,Punjab,Rawalpindi
3/22/2020,43,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/22/2020,4,1,0,,Baluchistan,Quetta
3/23/2020,7,0,0,Local - Social Contact,Sindh,Karachi
3/23/2020,11,0,0,Iran/Taftan,Sindh,Sukkur
3/23/2020,1,0,0,Iran/Taftan,Sindh,Dadu
3/23/2020,5,0,0,Iran/Taftan,Baluchistan,Taftan
3/23/2020,16,1,0,Iran/Taftan,Gilgit-Baltistan,Skardu
3/23/2020,25,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/23/2020,16,0,0,Local - Social Contact,Punjab,Lahore
3/23/2020,1,0,0,,Khyber Pakhtunkhwa,Mansehra
3/24/2020,8,0,6,Local - Social Contact,Sindh,Karachi
3/24/2020,8,0,0,Iran/Taftan,Sindh,Sukkur
3/24/2020,3,0,10,Local - Social Contact,Sindh,Karachi
3/24/2020,5,0,0,Local - Social Contact,Gilgit-Baltistan,Gilgit
3/24/2020,37,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
3/24/2020,1,0,0,Iran/Taftan,Federal Administration Tribal Area,South Waziristan
3/24/2020,2,0,0,,Khyber Pakhtunkhwa,Peshawar
3/24/2020,2,0,0,,Baluchistan,Quetta
3/24/2020,7,0,0,Local - Social Contact,Punjab,Lahore
3/24/2020,1,0,0,Local - Social Contact,Punjab,Multan
3/24/2020,9,0,0,Local - Social Contact,Punjab,Gujrat 
3/24/2020,3,0,0,Local - Social Contact,Punjab,Gujranwala
3/24/2020,1,0,0,Local - Social Contact,Punjab,Sargodha
3/24/2020,1,0,0,Local - Social Contact,Punjab,Faisalabad
3/24/2020,1,0,0,Local - Social Contact,Punjab,Mandi Bahauddin
3/24/2020,1,0,0,Local - Social Contact,Punjab,Rahim yar khan
3/24/2020,3,0,0,Local - Social Contact,Sindh,Karachi
3/24/2020,21,1,2,Iran/Taftan,Punjab,Dera Ghazi Khan
3/25/2020,5,0,0,Intertiol Passenger,Islamabad Capital Territory,Islamabad
3/25/2020,3,0,0,Local - Social Contact,Sindh,Karachi
3/25/2020,0,0,1,Local - Social Contact,Sindh,Hyderabad
3/25/2020,9,0,0,Local - Social Contact,Baluchistan,Quetta
3/25/2020,1,0,0,,Gilgit-Baltistan,Astore
3/25/2020,39,0,2,,Khyber Pakhtunkhwa,Mardan
3/25/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
3/25/2020,1,0,0,,Khyber Pakhtunkhwa,Swabi
3/25/2020,9,0,0,Local - Social Contact,Punjab,Gujrat
3/25/2020,1,0,0,Local - Social Contact,Punjab,Gujranwala
3/25/2020,2,1,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/25/2020,18,0,1,,Punjab,Lahore
3/25/2020,1,0,0,Local - Social Contact,Punjab,Multan
3/25/2020,12,0,0,Iran/Taftan,Baluchistan,Quetta
3/25/2020,7,0,0,,Gilgit-Baltistan,Kharmang
3/25/2020,1,0,0,Dubai,Gilgit-Baltistan,Kharmang
3/26/2020,2,0,0,,Khyber Pakhtunkhwa,Dir Upper
3/26/2020,1,0,0,,Khyber Pakhtunkhwa,Swat
3/26/2020,1,0,0,,Azad Jummu Kashmir,Mirpur
3/26/2020,5,0,0,,Islamabad Capital Territory,Islamabad
3/26/2020,9,0,0,Local - Social Contact,Sindh,Karachi
3/26/2020,6,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
3/26/2020,12,0,0,Iran/Taftan,Baluchistan,Quetta
3/26/2020,7,0,2,,Gilgit-Baltistan,Skardu
3/26/2020,26,0,1,,Punjab,Lahore
3/26/2020,16,0,0,Iran/Taftan,Punjab,Multan
3/26/2020,1,0,0,Local - Social Contact,Punjab,Gujrat
3/26/2020,16,0,0,Local - Social Contact,Punjab,Jehlum
3/26/2020,12,0,0,Local - Social Contact,Punjab,Rawalpindi
3/26/2020,2,0,0,Local - Social Contact,Punjab,Faisalabad
3/26/2020,2,0,0,Local - Social Contact,Punjab,Mandi Bahauddin
3/26/2020,2,0,0,Local - Social Contact,Punjab,Mianwali
3/26/2020,1,0,0,Local - Social Contact,Punjab,rowal
3/26/2020,1,0,0,Local - Social Contact,Punjab,nka
3/26/2020,1,0,0,Local - Social Contact,Punjab,Attock
3/26/2020,1,0,0,Local - Social Contact,Punjab,Bahawal gar
3/26/2020,7,1,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/27/2020,2,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
3/27/2020,11,0,1,,Gilgit-Baltistan,Shigar
3/27/2020,5,0,0,,Gilgit-Baltistan,Gilgit
3/27/2020,7,0,0,Iran/Taftan,Sindh,Larka
3/27/2020,4,0,1,Local - Social Contact,Sindh,Karachi
3/27/2020,7,0,0,,Khyber Pakhtunkhwa,Peshawar
3/27/2020,2,0,0,,Khyber Pakhtunkhwa,Swat
3/27/2020,3,0,0,,Khyber Pakhtunkhwa,Swabi
3/27/2020,1,0,0,,Khyber Pakhtunkhwa,Shangla
3/27/2020,3,0,0,,Khyber Pakhtunkhwa,Nowshera
3/27/2020,1,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Orakzai
3/27/2020,34,0,0,,Khyber Pakhtunkhwa,Mardan
3/27/2020,3,0,0,,Khyber Pakhtunkhwa,Malakand
3/27/2020,2,0,0,,Khyber Pakhtunkhwa,Mansehra
3/27/2020,3,0,0,,Khyber Pakhtunkhwa,Kohat
3/27/2020,2,0,0,Local - Social Contact,Punjab,Lahore
3/27/2020,2,0,0,Local - Social Contact,Punjab,Faisalabad
3/27/2020,30,2,1,Iran/Taftan,Punjab,Multan
3/27/2020,0,0,2,,Baluchistan,Quetta
3/28/2020,1,0,0,Local - Social Contact,Punjab,Khushab
3/28/2020,1,1,0,,Khyber Pakhtunkhwa,Dera Ismail Khan
3/28/2020,1,0,0,,Khyber Pakhtunkhwa,Charsadda
3/28/2020,4,0,0,,Khyber Pakhtunkhwa,Buner
3/28/2020,1,0,0,Local - Social Contact,Punjab,nka
3/28/2020,1,0,0,Local - Social Contact,Punjab,Mandi Bahauddin
3/28/2020,2,0,0,Local - Social Contact,Punjab,Sargodha
3/28/2020,1,0,0,Local - Social Contact,Punjab,Vehari
3/28/2020,26,0,0,Iran/Taftan,Punjab,Multan
3/28/2020,14,0,0,Local - Social Contact,Punjab,Lahore
3/28/2020,4,0,0,Local - Social Contact,Punjab,Faisalabad
3/28/2020,10,0,0,Local - Social Contact,Punjab,Gujranwala
3/28/2020,5,0,0,Local - Social Contact,Punjab,Rawalpindi
3/28/2020,2,0,0,Local - Social Contact,Punjab,Jehlum
3/28/2020,29,0,0,Local - Social Contact,Punjab,Gujrat
3/28/2020,5,0,0,Local - Social Contact,Punjab,Dera Ghazi Khan
3/28/2020,21,0,0,Iran/Taftan,Punjab,Raiwind
3/28/2020,12,0,0,Intertiol Passenger,Islamabad Capital Territory,Islamabad
3/28/2020,25,1,0,Local - Social Contact,Sindh,Karachi
3/28/2020,4,0,0,Local - Social Contact,Sindh,Hyderabad
3/28/2020,5,0,0,Local - Social Contact,Baluchistan,Quetta
3/28/2020,8,0,1,Local - Social Contact,Gilgit-Baltistan,gar
3/28/2020,1,0,0,,Khyber Pakhtunkhwa,Dir Lower
3/28/2020,1,0,0,,Khyber Pakhtunkhwa,Abbottabad
3/29/2020,4,0,1,Local - Social Contact,Islamabad Capital Territory,Islamabad
3/29/2020,0,0,3,Local - Social Contact,Punjab,Lahore
3/29/2020,1,0,0,Local - Social Contact,Punjab,Vehari
3/29/2020,1,0,0,Local - Social Contact,Punjab,Bahawalpur
3/29/2020,3,0,0,Local - Social Contact,Punjab,Gujrat
3/29/2020,7,0,0,Local - Social Contact,Punjab,Jehlum
3/29/2020,1,0,0,Local - Social Contact,Punjab,Gujranwala
3/29/2020,11,0,0,Local - Social Contact,Punjab,Rawalpindi
3/29/2020,5,0,0,Iran/Taftan,Punjab,Raiwind
3/29/2020,1,1,0,Local - Social Contact,Punjab,Rahim Yar Khan
3/29/2020,4,0,0,,Azad Jummu Kashmir,Muzaffarabad
3/29/2020,33,2,3,Local - Social Contact,Sindh,Karachi
3/29/2020,0,1,0,Local - Social Contact,Gilgit-Baltistan,gar
3/29/2020,5,0,0,,Gilgit-Baltistan,Shigar
3/29/2020,2,0,0,Iran/Taftan,Gilgit-Baltistan,Kharmang
3/29/2020,3,0,0,Local - Social Contact,Gilgit-Baltistan,Astore
3/29/2020,2,0,0,,Gilgit-Baltistan,Ghanche
3/29/2020,1,1,0,,Khyber Pakhtunkhwa,Abbottabad
3/29/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
3/29/2020,1,1,0,,Khyber Pakhtunkhwa,Dir Lower
3/30/2020,8,0,1,Local - Social Contact,Islamabad Capital Territory,Islamabad
3/30/2020,11,0,1,Local - Social Contact,Punjab,nka
3/30/2020,14,0,0,,Punjab,Lahore
3/30/2020,8,0,0,Local - Social Contact,Punjab,Gujrat
3/30/2020,26,0,1,Iran/Taftan,Punjab,Raiwind
3/30/2020,21,4,2,Local - Social Contact,Sindh,Karachi
3/30/2020,6,0,23,Local - Social Contact,Sindh,Sukkur
3/30/2020,6,0,0,Local - Social Contact,Baluchistan,Quetta
3/30/2020,18,0,4,,Gilgit-Baltistan,gar
3/30/2020,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Bajaur
3/30/2020,3,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
3/30/2020,1,0,0,,Khyber Pakhtunkhwa,Bannu
3/30/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan
3/30/2020,3,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
3/30/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
3/30/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
3/30/2020,16,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
3/31/2020,7,0,0,,Islamabad Capital Territory,Islamabad
3/31/2020,0,3,0,Iran/Taftan,Punjab,Dera Ghazi Khan
3/31/2020,14,0,0,Local - Social Contact,Punjab,Rawalpindi
3/31/2020,1,0,0,Local - Social Contact,Punjab,Mianwali
3/31/2020,1,0,0,Local - Social Contact,Punjab,Rahim Yar Khan
3/31/2020,5,0,0,Local - Social Contact,Punjab,Hafizabad
3/31/2020,1,0,0,Local - Social Contact,Punjab,Kasur
3/31/2020,1,0,0,Local - Social Contact,Punjab,Laiya
3/31/2020,16,0,0,Local - Social Contact,Sindh,Hyderabad
3/31/2020,0,0,10,Iran/Taftan,Sindh,Sukkur
3/31/2020,94,0,0,Tableeghi Jamaat,Sindh,Hyderabad
3/31/2020,1,0,0,Local - Social Contact,Sindh,Jacobabad
3/31/2020,14,0,17,Iran/Taftan,Baluchistan,Quetta
3/31/2020,37,0,0,,Gilgit-Baltistan,gar
3/31/2020,0,0,0,,Khyber Pakhtunkhwa,Peshawar
3/31/2020,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Bajaur
3/31/2020,3,0,0,,Khyber Pakhtunkhwa,Dera Ismail Khan
3/31/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur
3/31/2020,10,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
3/31/2020,1,0,5,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
3/31/2020,1,0,0,Iran/Taftan,Federal Administration Tribal Area,Kurrum
3/31/2020,4,1,10,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
3/31/2020,10,0,0,,Khyber Pakhtunkhwa,Peshawar
04/01/2020,13,0,0,Intertiol Passenger,Islamabad Capital Territory,Islamabad
04/01/2020,2,0,0,,Azad Jummu Kashmir,Bhambore 
04/01/2020,1,0,0,,Azad Jummu Kashmir,Trarkhel
04/01/2020,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
04/01/2020,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
04/01/2020,0,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
04/01/2020,3,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
04/01/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
04/01/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur
04/01/2020,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Khyber
04/01/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
04/01/2020,2,0,0,Local - Social Contact,Federal Administration Tribal Area,Kurrum
04/01/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
04/01/2020,7,0,10,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
04/01/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Orakzai
04/01/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Tank
04/01/2020,1,0,0,Local - Social Contact,Federal Administration Tribal Area,South Waziristan
04/01/2020,33,1,3,Local - Social Contact,Sindh,Karachi
04/01/2020,2,0,0,Local - Social Contact,Punjab,Lodhran
04/01/2020,48,0,0,Local - Social Contact,Punjab,Lahore
04/01/2020,7,1,0,Local - Social Contact,Punjab,Rawalpindi
04/01/2020,6,0,0,Local - Social Contact,Baluchistan,Quetta
04/01/2020,28,0,0,Local - Social Contact,Punjab,Gujrat
04/01/2020,2,0,0,Local - Social Contact,Punjab,Gujranwala
04/01/2020,1,0,0,Local - Social Contact,Punjab,rowal
04/01/2020,8,0,0,Local - Social Contact,Punjab,Sargodha
04/01/2020,1,0,0,Local - Social Contact,Punjab,Sialkot
04/01/2020,2,0,0,Local - Social Contact,Punjab,Bahawal gar
04/01/2020,16,0,0,Iran/Taftan,Punjab,Multan
04/01/2020,63,0,0,Iran/Taftan,Punjab,Raiwind
04/02/2020,27,0,0,Tableeghi Jamaat,Punjab,Raiwind
04/01/2020,3,0,0,Iran/Taftan,Punjab,Faisalabad
04/02/2020,3,1,0,,Gilgit-Baltistan,Astore
04/02/2020,32,1,9,Local - Social Contact,Sindh,Karachi
04/02/2020,0,1,0,Tableeghi Jamaat,Sindh,Hyderabad
04/02/2020,0,0,2,Iran/Taftan,Sindh,Sukkur
04/02/2020,21,1,0,,Punjab,Lahore
04/02/2020,4,0,0,,Islamabad Capital Territory,Islamabad
04/02/2020,5,0,0,Local - Social Contact,Baluchistan,Quetta
04/02/2020,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
04/02/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
04/02/2020,5,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
04/02/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
04/02/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Hangu
04/02/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Karak
04/02/2020,6,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
04/02/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
04/02/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
04/02/2020,17,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
04/02/2020,1,0,3,Local - Social Contact,Khyber Pakhtunkhwa,Swabi
04/02/2020,1,0,0,Local - Social Contact,Punjab,Gujranwala
04/02/2020,2,0,0,Local - Social Contact,Punjab,Rawalpindi
04/02/2020,10,0,0,Local - Social Contact,Punjab,Mandi Bahauddin
04/02/2020,6,0,0,Local - Social Contact,Punjab,Vehari
04/02/2020,6,0,0,Iran/Taftan,Punjab,Dera Ghazi Khan
04/02/2020,27,0,0,Iran/Taftan,Punjab,Raiwind
04/02/2020,2,0,0,Iran/Taftan,Punjab,Faisalabad
04/03/2020,1,0,1,,Gilgit-Baltistan,Shigar
04/03/2020,1,0,0,,Gilgit-Baltistan,gar
04/03/2020,1,0,0,,Gilgit-Baltistan,Astore
04/03/2020,6,0,0,,Islamabad Capital Territory,Islamabad
04/03/2020,40,3,0,Local - Social Contact,Sindh,Karachi
04/03/2020,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
04/03/2020,6,0,0,,Baluchistan,Quetta
04/03/2020,6,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
04/03/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
04/03/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
04/03/2020,8,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Hangu
04/03/2020,2,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
04/03/2020,10,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Swat
04/03/2020,11,0,0,Local - Social Contact,Punjab,Lahore
04/03/2020,5,0,0,Local - Social Contact,Punjab,Gujrat
04/03/2020,1,0,0,Local - Social Contact,Punjab,Jehlum
04/03/2020,1,0,0,Local - Social Contact,Punjab,Gujranwala
04/03/2020,2,0,0,Local - Social Contact,Punjab,Rawalpindi
04/03/2020,1,0,0,Local - Social Contact,Punjab,Chiniot
04/03/2020,2,0,0,Local - Social Contact,Punjab,Rahim Yar Khan
04/03/2020,1,0,0,Local - Social Contact,Punjab,Sialkot
04/03/2020,11,0,0,Local - Social Contact,Punjab,Vehari
04/03/2020,1,0,0,Local - Social Contact,Punjab,Bahawalpur
04/03/2020,1,0,0,Local - Social Contact,Punjab,Sheikhupura
04/03/2020,12,0,0,Tableeghi Jamaat,Punjab,Dera Ghazi Khan
04/03/2020,3,0,0,Tableeghi Jamaat,Punjab,Multan
04/03/2020,100,0,0,Tableeghi Jamaat,Punjab,Raiwind
04/04/2020,7,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
04/04/2020,6,3,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
04/04/2020,30,1,0,Local - Social Contact,Punjab,Lahore
04/04/2020,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
04/04/2020,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Buner
04/04/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan
04/04/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
04/04/2020,3,0,0,Local - Social Contact,Federal Administration Tribal Area,Khyber
04/04/2020,4,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Lakki Marwat
04/04/2020,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
04/04/2020,2,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Shangla
04/04/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Torghar
04/04/2020,0,0,12,Local - Social Contact,Sindh,Karachi
04/04/2020,10,0,0,,Baluchistan,Quetta
04/04/2020,0,0,3,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
04/04/2020,3,0,0,,Azad Jummu Kashmir,Muzaffarabad
04/04/2020,0,0,5,,Gilgit-Baltistan,Skardu
04/04/2020,0,0,9,,Gilgit-Baltistan,gar
04/04/2020,0,0,3,,Gilgit-Baltistan,Ghanche
04/05/2020,3,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
04/05/2020,4,2,0,Local - Social Contact,Khyber Pakhtunkhwa,Swat
04/05/2020,7,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
04/05/2020,6,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
04/05/2020,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Orakzai
04/05/2020,5,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
04/05/2020,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Charsadda
04/05/2020,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
04/05/2020,0,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
04/05/2020,4,0,4,Local - Social Contact,Khyber Pakhtunkhwa,Buner
04/05/2020,3,0,9,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
04/05/2020,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Malakand
04/05/2020,0,0,1,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
04/05/2020,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Bajaur
04/05/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
04/05/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur
04/05/2020,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Karak
04/05/2020,0,0,1,Local - Social Contact,Federal Administration Tribal Area,Kurrum
04/05/2020,0,0,1,Local - Social Contact,Federal Administration Tribal Area,South Waziristan
04/05/2020,41,1,0,Local - Social Contact,Sindh,Karachi
04/05/2020,2,0,0,Local - Social Contact,Azad Jummu Kashmir,Mirpur
04/05/2020,6,0,13,,Baluchistan,Quetta
04/05/2020,17,0,7,Tableeghi Jamaat,Gilgit-Baltistan,Gilgit
04/05/2020,31,0,0,Local - Social Contact,Punjab,Lahore
04/05/2020,0,0,0,Local - Social Contact,Punjab,Faisalabad
04/05/2020,47,0,0,Iran/Taftan,Punjab,Raiwind
04/05/2020,0,0,2,Iran/Taftan,Gilgit-Baltistan,Kharmang
04/05/2020,0,0,1,Dubai,Gilgit-Baltistan,Kharmang
04/06/2020,51,2,0,Local - Social Contact,Sindh,Karachi
04/06/2020,0,0,130,Iran/Taftan,Sindh,Sukkur
04/06/2020,3,0,31,Local - Social Contact,Baluchistan,Quetta
